idx,MNIST_y
1,6
2,9
3,2
4,6
5,7
6,6
7,1
8,4
9,7
10,1
11,1
12,1
13,3
14,9
15,0
16,2
17,7
18,2
19,4
20,6
21,5
22,4
23,6
24,0
25,1
26,6
27,1
28,7
29,8
30,5
31,0
32,3
33,7
34,8
35,1
36,3
37,0
38,7
39,8
40,4
41,7
42,7
43,7
44,2
45,1
46,0
47,8
48,0
49,3
50,6
51,6
52,2
53,7
54,0
55,7
56,1
57,7
58,2
59,8
60,7
61,6
62,6
63,2
64,8
65,7
66,7
67,2
68,5
69,5
70,8
71,7
72,8
73,7
74,6
75,8
76,6
77,7
78,0
79,6
80,5
81,0
82,4
83,1
84,5
85,7
86,6
87,0
88,1
89,0
90,7
91,2
92,5
93,6
94,6
95,1
96,6
97,2
98,8
99,2
100,8
101,5
102,5
103,0
104,2
105,2
106,3
107,1
108,5
109,7
110,1
111,3
112,3
113,6
114,6
115,8
116,4
117,8
118,8
119,3
120,0
121,2
122,0
123,5
124,3
125,3
126,7
127,8
128,3
129,6
130,1
131,3
132,8
133,7
134,6
135,5
136,1
137,1
138,0
139,0
140,6
141,7
142,9
143,3
144,2
145,1
146,4
147,8
148,2
149,7
150,1
151,7
152,1
153,8
154,3
155,7
156,4
157,4
158,5
159,3
160,1
161,6
162,4
163,9
164,4
165,8
166,3
167,2
168,5
169,8
170,1
171,8
172,2
173,0
174,8
175,8
176,3
177,9
178,0
179,9
180,1
181,1
182,4
183,9
184,5
185,5
186,4
187,9
188,1
189,5
190,9
191,9
192,2
193,9
194,3
195,7
196,1
197,9
198,5
199,4
200,4
201,9
202,0
203,9
204,4
205,5
206,1
207,8
208,1
209,9
210,9
211,2
212,8
213,1
214,8
215,5
216,5
217,8
218,8
219,3
220,9
221,6
222,5
223,5
224,4
225,4
226,6
227,3
228,8
229,7
230,8
231,4
232,2
233,8
234,9
235,2
236,7
237,1
238,1
239,7
240,2
241,5
242,1
243,0
244,2
245,2
246,2
247,0
248,8
249,0
250,3
251,3
252,4
253,9
254,0
255,4
256,2
257,9
258,7
259,6
260,2
261,1
262,3
263,0
264,2
265,8
266,0
267,3
268,2
269,5
270,5
271,4
272,9
273,5
274,0
275,9
276,4
277,1
278,4
279,6
280,8
281,2
282,8
283,1
284,0
285,8
286,8
287,1
288,0
289,4
290,4
291,8
292,1
293,0
294,0
295,3
296,9
297,8
298,9
299,8
300,7
301,9
302,3
303,0
304,0
305,8
306,7
307,0
308,1
309,1
310,9
311,6
312,8
313,9
314,7
315,4
316,5
317,2
318,3
319,7
320,5
321,4
322,1
323,4
324,0
325,4
326,6
327,1
328,4
329,1
330,5
331,0
332,4
333,2
334,5
335,9
336,0
337,2
338,4
339,6
340,0
341,8
342,1
343,4
344,4
345,8
346,7
347,8
348,6
349,6
350,2
351,6
352,0
353,8
354,9
355,6
356,9
357,8
358,1
359,9
360,6
361,0
362,7
363,4
364,9
365,6
366,2
367,2
368,7
369,9
370,2
371,5
372,0
373,8
374,1
375,9
376,5
377,8
378,9
379,3
380,8
381,0
382,8
383,5
384,7
385,0
386,5
387,8
388,1
389,3
390,9
391,4
392,2
393,9
394,3
395,5
396,3
397,1
398,5
399,4
400,6
401,9
402,4
403,6
404,5
405,7
406,2
407,3
408,9
409,0
410,9
411,5
412,2
413,1
414,6
415,2
416,7
417,3
418,6
419,9
420,6
421,6
422,3
423,4
424,6
425,5
426,1
427,2
428,7
429,2
430,6
431,3
432,9
433,8
434,5
435,2
436,6
437,1
438,7
439,8
440,6
441,8
442,8
443,1
444,9
445,3
446,6
447,9
448,1
449,7
450,2
451,4
452,1
453,2
454,9
455,4
456,5
457,7
458,3
459,0
460,3
461,8
462,8
463,3
464,7
465,2
466,5
467,8
468,3
469,2
470,8
471,8
472,4
473,8
474,0
475,6
476,0
477,4
478,6
479,0
480,0
481,3
482,9
483,5
484,1
485,1
486,2
487,3
488,6
489,4
490,8
491,1
492,4
493,9
494,2
495,0
496,2
497,3
498,1
499,2
500,0
501,1
502,4
503,0
504,1
505,1
506,6
507,5
508,3
509,7
510,3
511,3
512,3
513,0
514,4
515,1
516,1
517,0
518,8
519,1
520,5
521,3
522,2
523,1
524,6
525,9
526,2
527,7
528,9
529,1
530,7
531,7
532,3
533,1
534,2
535,1
536,0
537,6
538,8
539,9
540,7
541,4
542,2
543,4
544,2
545,0
546,5
547,2
548,4
549,0
550,0
551,3
552,0
553,9
554,7
555,2
556,2
557,3
558,0
559,6
560,9
561,7
562,3
563,1
564,6
565,4
566,1
567,4
568,5
569,7
570,4
571,4
572,5
573,9
574,5
575,9
576,9
577,9
578,0
579,9
580,9
581,9
582,2
583,7
584,9
585,5
586,2
587,0
588,6
589,0
590,8
591,9
592,0
593,1
594,4
595,1
596,4
597,6
598,4
599,2
600,1
601,6
602,2
603,5
604,8
605,0
606,3
607,0
608,6
609,3
610,6
611,9
612,8
613,7
614,3
615,7
616,2
617,8
618,1
619,9
620,2
621,3
622,8
623,7
624,0
625,0
626,7
627,4
628,3
629,3
630,0
631,5
632,4
633,3
634,5
635,5
636,7
637,9
638,4
639,4
640,2
641,3
642,6
643,1
644,7
645,5
646,6
647,7
648,9
649,4
650,2
651,6
652,7
653,5
654,1
655,8
656,8
657,6
658,3
659,5
660,0
661,8
662,7
663,5
664,4
665,2
666,3
667,0
668,4
669,6
670,6
671,1
672,7
673,7
674,4
675,2
676,2
677,1
678,8
679,5
680,5
681,9
682,8
683,1
684,2
685,9
686,7
687,2
688,7
689,3
690,2
691,3
692,7
693,5
694,7
695,7
696,5
697,6
698,0
699,9
700,4
701,4
702,8
703,7
704,7
705,1
706,4
707,6
708,0
709,4
710,0
711,0
712,3
713,3
714,8
715,1
716,7
717,9
718,6
719,8
720,1
721,4
722,6
723,5
724,2
725,6
726,2
727,9
728,9
729,0
730,0
731,4
732,8
733,6
734,1
735,6
736,6
737,8
738,0
739,6
740,5
741,4
742,2
743,1
744,4
745,7
746,1
747,3
748,6
749,6
750,6
751,0
752,4
753,1
754,2
755,6
756,0
757,8
758,9
759,0
760,1
761,4
762,5
763,2
764,1
765,9
766,4
767,8
768,9
769,7
770,1
771,4
772,6
773,0
774,2
775,6
776,1
777,6
778,3
779,0
780,6
781,6
782,9
783,9
784,9
785,8
786,3
787,0
788,9
789,0
790,2
791,1
792,8
793,1
794,8
795,9
796,3
797,3
798,8
799,2
800,1
801,1
802,6
803,4
804,8
805,2
806,1
807,2
808,7
809,5
810,8
811,8
812,0
813,0
814,8
815,5
816,3
817,8
818,7
819,5
820,7
821,4
822,7
823,8
824,0
825,4
826,6
827,3
828,7
829,8
830,0
831,0
832,7
833,7
834,2
835,7
836,0
837,7
838,1
839,7
840,6
841,9
842,1
843,0
844,6
845,6
846,3
847,2
848,7
849,9
850,9
851,7
852,7
853,9
854,4
855,0
856,4
857,6
858,8
859,2
860,0
861,7
862,7
863,4
864,9
865,7
866,6
867,9
868,1
869,1
870,5
871,8
872,0
873,9
874,0
875,2
876,5
877,9
878,7
879,9
880,7
881,9
882,5
883,5
884,0
885,1
886,9
887,3
888,3
889,3
890,0
891,0
892,0
893,6
894,6
895,2
896,2
897,6
898,3
899,5
900,5
901,7
902,3
903,3
904,7
905,6
906,5
907,1
908,2
909,4
910,4
911,9
912,9
913,5
914,1
915,3
916,1
917,6
918,4
919,3
920,7
921,7
922,8
923,5
924,3
925,9
926,7
927,1
928,9
929,7
930,0
931,9
932,2
933,3
934,9
935,0
936,4
937,5
938,0
939,7
940,3
941,4
942,8
943,7
944,1
945,8
946,9
947,3
948,7
949,1
950,8
951,5
952,4
953,0
954,0
955,0
956,7
957,2
958,6
959,4
960,2
961,2
962,7
963,3
964,7
965,0
966,4
967,7
968,2
969,8
970,1
971,9
972,7
973,3
974,9
975,8
976,6
977,2
978,2
979,3
980,4
981,0
982,6
983,7
984,1
985,9
986,8
987,3
988,2
989,6
990,2
991,7
992,3
993,0
994,3
995,3
996,9
997,3
998,2
999,9
1000,0
1001,7
1002,3
1003,6
1004,9
1005,3
1006,3
1007,3
1008,3
1009,7
1010,8
1011,6
1012,8
1013,2
1014,4
1015,8
1016,7
1017,5
1018,6
1019,4
1020,6
1021,7
1022,0
1023,9
1024,2
1025,8
1026,1
1027,5
1028,4
1029,2
1030,2
1031,9
1032,3
1033,4
1034,6
1035,2
1036,1
1037,9
1038,9
1039,2
1040,1
1041,1
1042,1
1043,8
1044,7
1045,2
1046,0
1047,2
1048,8
1049,1
1050,0
1051,5
1052,1
1053,6
1054,4
1055,0
